review_id,rating,text,sentiment,created_time
4280029,5,Cực kì hài lòng,positive,2020-08-01 08:24:25
3717194,5,Cực kì hài lòng,positive,2020-06-04 20:15:46
19935556,5,Cực kì hài lòng,positive,2024-07-24 15:18:35
19893282,5,Cực kì hài lòng,positive,2024-06-05 22:22:08
19539454,5,"Cực kì hài lòng Giao hàng nhanh, đóng gói cẩn thận. Sách đẹp, nội dung hay, hấp dẫn.",positive,2023-09-19 12:49:01
6402,5,Không ổn This is a sample review content 6402,positive,2024-12-22 00:00:00
19624250,5,Cực kì hài lòng,positive,2023-11-02 01:56:27
19329375,5,Cực kì hài lòng,positive,2023-06-27 09:47:45
20129287,4,Hài lòng,positive,2025-05-29 15:06:35
20137252,4,Hài lòng,positive,2025-06-18 16:22:25
17342316,5,"Cực kì hài lòng Mình đặt qua Tiki Trading, sách được bọc và đóng gói kỹ như bình thường. Không có gì để phàn nàn",positive,2022-08-08 16:26:17
20226180,5,Cực kì hài lòng,positive,2026-04-12 15:42:56
20102188,5,Cực kì hài lòng,positive,2025-03-26 21:05:07
20205273,5,Cực kì hài lòng,positive,2026-01-12 21:07:41
20185942,5,Cực kì hài lòng,positive,2025-10-29 10:53:58
6403,2,Bình thường This is a sample review content 6403,negative,2020-05-03 00:00:00
6404,3,This is a sample review content 6404,neutral,2020-08-04 00:00:00
6405,5,This is a sample review content 6405,positive,2024-03-19 00:00:00
6406,5,This is a sample review content 6406,positive,2022-10-09 00:00:00
19262531,5,Cực kì hài lòng,positive,2023-06-05 15:45:25
19154395,5,Cực kì hài lòng,positive,2023-05-03 19:19:38
19047704,5,Cực kì hài lòng,positive,2023-04-03 21:59:31
18867940,5,Cực kì hài lòng,positive,2023-02-26 08:38:28
20021774,5,Cực kì hài lòng Dễ thương lắm,positive,2024-11-02 00:30:38
19958785,5,Cực kì hài lòng,positive,2024-08-20 02:58:48
20105841,5,Cực kì hài lòng,positive,2025-04-04 06:29:29
20238451,5,Cực kì hài lòng,positive,2026-06-06 02:29:50
